date,rolling_exposure,rolling_trade_density,rolling_sharpe,rolling_drawdown
2019-07-25,73.01587301587301,44.0,0.24255501885610833,-0.3543882376773734
2019-07-26,73.4126984126984,44.0,0.24673461216601897,-0.3543882376773734
2019-07-29,73.80952380952381,44.0,0.26162406993348286,-0.3543882376773734
2019-07-30,74.20634920634922,44.0,0.3210796693841899,-0.3543882376773734
2019-07-31,74.60317460317461,44.0,0.3455444380415631,-0.3543882376773734
2019-08-01,75.0,44.0,0.07856303953343306,-0.3543882376773734
2019-08-02,75.39682539682539,45.0,-0.006400329960264651,-0.3543882376773734
2019-08-05,75.39682539682539,46.0,-0.006946054212504185,-0.3543882376773734
2019-08-06,75.0,45.0,-0.013916512167552861,-0.3543882376773734
2019-08-07,74.60317460317461,45.0,-0.09964149823185561,-0.3543882376773734
2019-08-08,74.60317460317461,44.0,-0.09909373540535965,-0.3543882376773734
2019-08-09,74.60317460317461,44.0,-0.09909373540535965,-0.3543882376773734
2019-08-12,74.60317460317461,44.0,-0.09909373540535965,-0.3543882376773734
2019-08-13,74.20634920634922,43.0,-0.07732413297876611,-0.3543882376773734
2019-08-14,74.20634920634922,42.0,-0.0767762490323775,-0.3543882376773734
2019-08-15,74.20634920634922,42.0,-0.0767762490323775,-0.3543882376773734
2019-08-16,74.20634920634922,42.0,-0.0767762490323775,-0.3543882376773734
2019-08-19,73.80952380952381,41.0,-0.05745100338607704,-0.3543882376773734
2019-08-20,73.4126984126984,41.0,-0.06992008766516722,-0.3543882376773734
2019-08-21,73.4126984126984,40.0,-0.06937206049154303,-0.3543882376773734
2019-08-22,73.01587301587301,39.0,-0.03900372465382658,-0.3543882376773734
2019-08-23,72.61904761904762,39.0,-0.0568157019741891,-0.3543882376773734
2019-08-26,72.22222222222221,39.0,-0.03281105951833687,-0.3543882376773734
2019-08-27,71.82539682539682,39.0,-0.03187522282007242,-0.3543882376773734
2019-08-28,71.42857142857143,39.0,-0.07404414492296772,-0.3543882376773734
2019-08-29,71.82539682539682,39.0,-0.03832051270239063,-0.3543882376773734
2019-08-30,71.82539682539682,40.0,-0.03886918265510208,-0.3543882376773734
2019-09-02,72.22222222222221,41.0,-0.07579033422113934,-0.3543882376773734
2019-09-03,72.61904761904762,41.0,-0.10068542558633758,-0.3543882376773734
2019-09-04,72.61904761904762,40.0,0.0834036072016479,-0.3543882376773734
2019-09-05,73.01587301587301,39.0,0.09881911846436495,-0.3543882376773734
2019-09-06,73.01587301587301,38.0,0.13841815570298888,-0.3543882376773734
2019-09-09,73.01587301587301,38.0,0.20150974571930969,-0.3543882376773734
2019-09-10,73.01587301587301,38.0,0.14428815438895315,-0.3543882376773734
2019-09-11,73.01587301587301,38.0,0.03644488120834797,-0.3543882376773734
2019-09-12,73.01587301587301,37.0,-0.01957011074823432,-0.3543882376773734
2019-09-13,73.4126984126984,36.0,-0.028553325722758198,-0.3543882376773734
2019-09-16,73.80952380952381,36.0,0.43964864871774084,-0.3543882376773734
2019-09-17,74.20634920634922,36.0,0.2287118238942333,-0.3543882376773734
2019-09-18,74.60317460317461,36.0,0.18266748534928096,-0.3543882376773734
2019-09-19,75.0,36.0,0.22164420150755393,-0.3543882376773734
2019-09-20,75.0,35.0,0.16494277436147242,-0.3543882376773734
2019-09-23,75.0,35.0,0.10434730914353772,-0.3543882376773734
2019-09-24,75.0,35.0,0.030329527235917437,-0.3543882376773734
2019-09-25,75.0,35.0,-0.05946028280876261,-0.3543882376773734
2019-09-26,75.0,35.0,0.019808940944211036,-0.3543882376773734
2019-09-27,75.0,35.0,-0.005982485540078041,-0.3543882376773734
2019-09-30,75.0,35.0,-0.08782883843820383,-0.3543882376773734
2019-10-01,75.0,35.0,-0.14715615968433515,-0.3543882376773734
2019-10-02,75.0,35.0,-0.1407086703682802,-0.3543882376773734
2019-10-03,75.0,35.0,-0.03389777583381078,-0.3543882376773734
2019-10-04,75.0,35.0,-0.004751714857322957,-0.3543882376773734
2019-10-07,75.0,35.0,-0.019425604942005063,-0.3543882376773734
2019-10-08,75.0,35.0,-0.049710770835836755,-0.3543882376773734
2019-10-09,75.0,35.0,0.006827140840410723,-0.3543882376773734
2019-10-10,75.0,35.0,0.07839465360336881,-0.3543882376773734
2019-10-11,75.0,35.0,0.13337589058202207,-0.3543882376773734
2019-10-14,75.0,35.0,0.07144771420520205,-0.3543882376773734
2019-10-15,75.0,36.0,0.23685485342358764,-0.3543882376773734
2019-10-16,75.0,36.0,0.21144424531591605,-0.3543882376773734
2019-10-17,75.0,36.0,0.15587154895638883,-0.3543882376773734
2019-10-18,75.0,36.0,0.15175818930166787,-0.3543882376773734
2019-10-21,74.60317460317461,37.0,0.16262926966942307,-0.3543882376773734
2019-10-22,74.60317460317461,36.0,0.16310052453428509,-0.3543882376773734
